slug,padrao,ac,ur,total_mi,rsm2,Gerenciamento,Mov.Terra,Infra,Supra,Alvenaria,Instal,SistEsp,Climat,Imper,RevP,Teto,Pisos,Pintura,Esquad,Louças,Fachada,Compl,Imprev
all-lago-di-garda,medio-alto,7055.73,0,50.51688253944222,7159.696096568636,4162.9,8.8,208.2,711.6,157.3,296.5,130.6,30.6,47.4,147.5,56.1,229.4,153.5,268.7,38.0,179.7,261.3,71.6
amalfi-maiori,alto,8366.5,0,25.185732852655,3010.30692077392,396.7,7.4,176.6,592.0,114.5,295.5,134.7,,64.5,196.0,57.7,133.5,136.7,334.1,24.5,149.3,196.7,
amalfi-marine,medio-alto,4498.66,0,14.107283053041,3135.8855866060117,521.7,16.8,344.0,484.5,117.1,281.3,171.8,,66.9,163.3,42.0,142.7,142.7,237.5,23.8,123.4,256.3,
as-ramos-paessaggio,medio-alto,264052.4,0,34.2840203225,129.8379424784626,16.3,1.6,8.9,23.5,2.8,8.2,14.2,,1.3,,3.0,11.7,2.2,15.4,,10.3,7.2,3.0
fonseca-empreendimentos-estoril,medio-alto,14491.98,110,48.960377088515656,3378.4463605743076,531.9,16.1,171.2,710.0,167.5,444.9,111.0,42.3,70.8,47.8,37.7,100.2,139.1,312.4,27.6,258.7,144.7,44.5
mendes-empreendimentos-brava-mundo,alto,4811.54,0,20.149157700000004,4187.673322886229,687.7,93.3,316.1,776.2,151.6,579.3,133.0,124.6,62.0,,59.0,326.9,87.3,554.0,,154.5,82.1,
nova-empreendimentos-evora,alto,3477.2,0,21.29130416,6123.117496836536,2763.6,67.2,276.0,664.2,188.3,372.4,62.9,28.0,103.7,425.6,26.3,156.5,116.6,485.4,24.3,54.9,307.3,
nova-empreendimentos-malaga,alto,4430.32,0,23.24453272,5246.693855071417,1716.0,78.3,227.6,717.1,198.8,391.9,71.5,24.3,107.5,444.6,37.6,180.2,125.0,287.4,26.2,65.3,547.6,
nova-empreendimentos-malta,alto,7964.39,0,48.5116448,6091.0684685205015,2419.7,68.8,324.0,854.7,222.8,399.9,73.7,81.5,125.9,414.4,75.7,204.3,124.9,413.4,28.7,25.7,233.2,
paludo-barbados,medio-alto,1728.35,0,4.80713602,2781.344068041774,940.4,17.8,103.7,404.8,57.2,159.3,156.1,,64.4,,46.6,229.2,128.0,256.9,,87.6,129.4,
paludo-urban-life,economico,7040.19,0,18.47908415,2624.799067922883,289.4,18.6,54.2,580.5,100.5,286.7,142.6,,55.2,,71.7,335.7,101.8,344.5,,106.5,95.8,41.0
paludo-volo-ocean,medio-alto,3264.31,0,11.91576619,3650.3169705083155,1309.0,24.6,141.6,423.8,67.9,190.3,276.1,,55.5,,45.0,214.3,44.5,475.2,,149.5,192.1,41.0
parkside-trindade,medio-alto,3332.96,0,12.51787823,3755.784116821084,428.2,44.1,150.7,532.2,259.9,464.1,164.0,,61.4,,77.5,587.8,175.7,488.1,,132.3,97.6,92.1
pass-e-belissimo,economico,15621.97,0,30.98411658,1983.3680758572702,229.0,10.1,167.1,350.6,180.1,208.8,111.6,,16.6,,25.6,242.9,78.9,135.3,,87.4,109.4,29.9
pass-e-celebration,medio-alto,7956.14,0,25.04600569,3148.009674289291,411.2,12.4,236.8,762.0,161.1,310.2,254.7,,48.2,,60.6,300.7,114.5,245.7,,109.6,72.2,48.1
pass-e-connect,medio-alto,13144.27,0,48.758956420000004,3709.5218235778784,376.2,40.1,199.0,736.2,240.6,330.2,228.3,,34.6,,80.0,326.8,196.8,265.3,,300.5,196.9,157.8
pass-e-passione,alto,6681.54,0,25.28724972,3784.643917420235,681.7,30.8,244.6,641.0,196.7,459.8,240.6,,56.8,,88.3,365.1,178.2,279.0,,149.8,51.8,120.5
pass-e-vancouver,medio-alto,5554.12,0,15.320928949999999,2758.4800022325767,287.6,19.9,139.8,698.5,139.7,273.5,204.2,,16.7,,41.9,283.7,102.5,277.1,,117.1,116.6,39.6
pavcor,medio-alto,14283.29,0,49.36027861,3455.8059529702186,579.7,21.8,195.7,650.1,154.6,398.2,95.6,86.0,57.2,238.2,47.0,205.1,144.6,246.1,26.6,93.8,172.9,42.5
sak-engenharia,alto,1700.61,0,6.53545704,3843.007532591247,540.5,11.4,230.9,769.4,125.3,320.1,212.1,,61.4,,70.7,399.6,147.8,540.9,,149.4,225.2,38.4
santa-maria-unimed,alto,52516.04,0,84.2368441525,1604.021250507464,,,82.1,675.3,115.3,428.0,225.2,78.1,,,,,,,,,,
terrassa-amaro,alto,10479.34,0,32.4876501931334,3100.1618606833445,535.8,,159.5,721.2,176.5,309.7,,28.2,,496.0,92.4,,167.7,285.9,22.9,,104.4,
